Unnamed: 0,genres,overview
685,[],"['kendall', 'patricia', 'royce', 'got', 'dumped', 'boyfriend', 'david', 'j', 'd', 'souther', 'nothing', 'much', 'younger', 'rock', 'musician', 'advice', 'best', 'friend', 'and', 'david', 's', 'ex', 'claire', 'lorraine', 'devon', 'fix', 'problem', 'is', 'claire', 'david', 'rekindled', 'lost', 'romance', 'now', 'claire', 'kendall', 's', 'friendship', 'put', 'ultimate', 'test', 'try', 'help', 'decipher', 'men', 'love', 'romantic', 'comedy']"
711,[],"['seven', 'new', 'zealand', 'woman', 'speak', 'life', 'world', 'war', 'ii', 'lost', 'husbands', 'got', 'married', 'went', 'service', 'themselves', 'director', 'let', 'woman', 'tell', 'story', 'simply', 'alternating', 'talking', 'archival', 'footage', 'war', 'years']"
734,[],"['vermont', 'lover', 'independently', 'produced', 'docudrama', 'released', 'starring', 'george', 'thrush', 'marya', 'cohn', 'shot', 'location', 'tunbridge', 'vermont', 'film', 'concern', 'couple', 'visiting', 'vermont', 'order', 'married', 'interviewing', 'local', 'resident', 'subject', 'marriage', 'largely', 'improvised', 'using', 'non', 'professional', 'actors', 'film', 'wa', 'shown', 'various', 'film', 'festival', 'including', 'melbourne', 'international', 'film', 'festival', 'hawaii', 'international', 'film', 'festival', 'movie', 'wa', 'terribly', 'well', 'received', 'national', 'press', 'new', 'york', 'time', 'calling', 'it', 'vaguely', 'amiable', 'washington', 'post', 'review', 'commented', 'film', 'wa', 'all', 'too', 'easy', 'target', 'ridicule', 'also', 'mentioned', 'one', 'film', 's', 'high', 'points', 'in', 'one', 'scene', 'typically', 'droll', 'vermont', 'resident', 'playing', 'himself', 'sum', 'state', 's', 'fabled', 'coolness', 'stranger', 'suggesting', 'sign', 'placed', 'state', 'line', 'reading', 'welcome', 'vermont', 'leave']"
740,[],"['yard', 'iranian', 'village', 'school', 'stand', 'shade', 'tree', 'large', 'stoneware', 'jar', 'pupil', 'drink', 'fresh', 'water', 'unfortunate', 'day', 'jar', 'start', 'leaking', 'schoolmaster', 'try', 'hard', 'get', 'new', 'one', 'vain', 'solution', 'fixed']"
752,[],"['boisterous', 'cheerful', 'life', 'resident', 'cameroon', 'barely', 'dented', 'incursion', 'supernatural', 'power', 'humor', 'filled', 'rendition', 'traditional', 'folk', 'tale', 'modern', 'guise', 'story', 'cheerfully', 'naughty', 'girl', 'cross', 'path', 'witch', 'ha', 'power', 'satisfy', 'curiosity', 'men', 'changing', 'young', 'man', 'becomes', 'one', 'boy', 'suitor', 'amorous', 'attention', 'policeman', 's', 'daughter', 'men', 'unusual', 'name', 'even', 'odder', 'magical', 'gifts', 'one', 'ha', 'ability', 'make', 'man', 's', 'genitals', 'disappear', 'shake', 'hand', 'him']"
756,[],"['gena', 'average', 'woman', 'torn', 'current', 'boyfriend', 's', 'desire', 'marry', 'start', 'family', 'unexpected', 'arrival', 'old', 'boyfriend', 'wanting', 'pick', 'left', 'off', 'complicate', 'matters', 'might', 'pregnant', 'herself', 'mist', 'unsettled', 'personal', 'life', 'gena', 'leaf', 'two', 'men', 'attend', 'baby', 'shower', 'party', 'girl', 'friend', 'talk', 'various', 'female', 'attendee', 'facing', 'ticking', 'biological', 'clocks']"
771,[],"['shot', 'b', 'amp', 'w', 'gyula', 'gazdag', 's', 'film', 'follows', 'surreal', 'often', 'comic', 'quest', 'young', 'andris', 'orphan', 'searching', 'father', 'exist', 'orban', 'government', 'clerk', 'who', 's', 'enough', 'oppressive', 'bureaucracy']"
772,[],"['may', 'paris', 'young', 'poet', 'jacques', 'prevel', 'meet', 'antonin', 'artaud', 'actor', 'artist', 'writer', 'released', 'mental', 'asylum', 'ten', 'months', 'follow', 'mad', 'artaud', 'cruel', 'coaching', 'actress', 'theatre', 'cruelty', 'semi', 'friendship', 'prevel', 'buy', 'drug', 'hang', 'every', 'word', 'meanwhile', 'prevel', 'divide', 'time', 'jany', 'blond', 'young', 'drug', 'hazed', 'mistress', 'rolande', 'dark', 'haired', 'long', 'suffering', 'wife', 'ha', 'child', 'time', 'cruelty', 'neglect', 'poverty', 'egoism', 'madness', 'pursuit', 'art', 'mix', 'left', 'bank']"
773,[],"['brother', 'joel', 'alex', 'del', 'rosario', 'dennis', 'grandong', 'cervantes', 'sonny', 'lawrence', 'david', 'work', 'together', 'dancer', 'low', 'rent', 'gay', 'bar', 'downtown', 'manila', 'philippines', 'despite', 'mother', 's', 'pleas', 'sonny', 'decides', 'quit', 'college', 'work', 'full', 'time', 'bar', 'dennis', 'ha', 'moved', 'beyond', 'dancing', 'prostitution', 'urging', 'manipulative', 'club', 'manager', 'joel', 'eldest', 'try', 'balance', 'secret', 'gay', 'life', 'socially', 'respectable', 'role', 'husband', 'father']"
790,[],"['battle', 'scarred', 'has', 'been', 'hungarian', 'cop', 'tormented', 'memory', 'accidentally', 'killing', 'innocent', 'woman', 'custody', 'enters', 'faustian', 'pact', 'trade', 'soul', 'handful', 'magic', 'bullet', 'always', 'hit', 'mark', 'mysterious', 'mythical', 'story']"
